"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"GRASIM",1,1571.75,2856.65,1571.75,2856.65,1284.9,81.75,0,""
"GREAVESCOT",11,216.58,158.13,2382.33,1739.43,-642.9,-26.99,0,""
"GRSE",1,2927.5,2387.6,2927.5,2387.6,-539.9,-18.44,0,""
"GSFC",5,197.56,173.96,987.8,869.8,-118,-11.95,0,""
"GSPL",7,291.36,295.25,2039.5,2066.75,27.25,1.34,0,""
"GULFOILLUB",2,1161.7,1047.6,2323.4,2095.2,-228.2,-9.82,0,""
"HAL",5,4692.91,4351.85,23464.55,21759.25,-1705.3,-7.27,0,""
"HAPPSTMNDS",4,609.88,405.2,2439.5,1620.8,-818.7,-33.56,0,""
"HAVELLS",3,1380.65,1288.9,4141.95,3866.7,-275.25,-6.65,0,""
"HCLTECH",8,1508.02,1720.2,12064.15,13761.6,1697.45,14.07,0,""
"HDFCBANK",31,944.89,926.85,29291.5,28732.35,-559.15,-1.91,0,""
"HDFCLIFE",6,648.66,720.15,3891.95,4320.9,428.95,11.02,0,""
"HERITGFOOD",8,474.14,399.25,3793.1,3194,-599.1,-15.79,0,""
"HGINFRA",4,1061.83,594.45,4247.3,2377.8,-1869.5,-44.02,0,""
"HINDALCO",8,592.23,962,4737.85,7696,2958.15,62.44,0,""
"HINDCOPPER",5,98.9,562.25,494.5,2811.25,2316.75,468.5,0,""
"HINDPETRO",9,195.19,419.5,1756.75,3775.5,2018.75,114.91,0,""
"HINDUNILVR",7,2345.48,2400.9,16418.35,16806.3,387.95,2.36,0,""
